# Databricks SQL - Concept & Architecture Flashcards
# Format: Question | Answer

What are Delta table features? | Capabilities tracked in table metadata: Column mapping, deletion vectors, change data feed, row tracking, liquid clustering. Controls compatibility with readers/writers.

How do minReaderVersion and minWriterVersion work? | Define minimum Delta Lake protocol versions needed to read/write table. Prevents incompatible clients from corrupting data. Automatically incremented when features require it.

What is the Delta transaction log? | JSON-based log storing all table operations. Provides ACID guarantees, enables time travel, tracks metadata changes. Located in _delta_log directory.

How does Delta Lake ensure ACID properties? | Atomicity: All-or-nothing commits. Consistency: Validation before commit. Isolation: Optimistic concurrency control. Durability: Transaction log persistence.

What is the RESTORE command used for? | Reverts table to previous version/timestamp. Use cases: Undo mistakes, recover from bad writes, rollback failed migrations, restore deleted data (within VACUUM retention).

When should you run ANALYZE TABLE? | After: Schema changes, large data loads, statistics property updates, partition additions. Improves query performance through updated statistics.

What is the NOSCAN option in ANALYZE TABLE? | Collects basic statistics from existing metadata without reading data files. Fast but less accurate. Use for quick refreshes on large tables.

How does Unity Catalog integrate with SQL? | Provides: Centralized metadata, fine-grained access control, data lineage, audit logging, cross-workspace sharing. Enhanced security and governance.

What are optimized writes? | Automatically creates right-sized files during writes (INSERTs, CTAS). Reduces need for OPTIMIZE. Enabled by default in SQL warehouses, optional in Runtime.

How do partition filters improve streaming? | Pushed down before rate limiting in Delta streaming. Reduces data scanned early in pipeline, improving throughput and resource utilization.

What is the purpose of REORG TABLE? | Reorganizes table layout for better performance. Similar to OPTIMIZE but with different optimization strategies. Specific to certain Delta features.

When should you use FSCK REPAIR TABLE? | Repairs inconsistencies between Delta log and data files. Use after: Cloud storage failures, manual file modifications, corruption issues. Rarely needed.

What does GENERATE command do? | Creates/updates metadata files: _delta_log checkpoints, Parquet metadata, statistics. Useful for maintenance and recovery scenarios.

How does CACHE SELECT improve performance? | Caches query results in memory for faster repeated access. Useful for: Dashboards, repeated queries, aggregations. Managed automatically or manually.

What are clustering columns? | Columns specified in CLUSTER BY clause. Used by liquid clustering to automatically organize data. Choose based on common filter/join predicates.

How do you choose between partitioning and clustering? | Partitioning: Low cardinality (dates, regions), static patterns. Clustering: High cardinality, dynamic patterns, multiple access patterns. Clustering more flexible.

What is the @ syntax advantage? | Shorter, more concise than VERSION AS OF / TIMESTAMP AS OF. Easier to use in complex queries. Same functionality, different syntax.

How does INSERT REPLACE work? | Selectively replaces rows based on matching conditions (USING...ON). More efficient than DELETE + INSERT. Atomic operation. Available in Runtime 17.2+.

What API operations manage warehouse lifecycle? | Create, Start, Stop, Delete, Update. Also: Get info, List all, Manage permissions. Full lifecycle management through REST API or CLI.

How do warehouse permissions work? | Role-based access control. Levels: CAN_USE (run queries), CAN_MANAGE (configure warehouse). Integrated with Unity Catalog for centralized governance.

What is workspace configuration? | Global settings for SQL warehouses workspace-wide. Controls: Default warehouse settings, security policies, resource limits. Set via API or UI.
